"admission_year","admission_month","admission_month_number","Admission Type","patient_count","average_age","total_billing_amount","average_billing_amount","average_length_of_stay"
"2019",May,"05",Urgent,216,52,5349760.00,25116.23,15
"2019",May,"05",Elective,244,50,6350870.00,26135.28,15
"2019",May,"05",Emergency,226,51,5954230.00,26581.37,15
"2019",Jun,"06",Elective,321,53,8525440.00,26559.02,15
"2019",Jun,"06",Emergency,276,51,7078220.00,25738.99,16
"2019",Jun,"06",Urgent,310,53,8281900.00,26802.28,15
"2019",Jul,"07",Emergency,308,51,8324360.00,27027.15,17
"2019",Jul,"07",Urgent,322,51,8091080.00,25127.57,15
"2019",Jul,"07",Elective,327,51,8356390.00,25633.10,16
"2019",Aug,"08",Emergency,306,53,8295640.00,27198.83,16
"2019",Aug,"08",Elective,329,51,8074670.00,24543.07,15
"2019",Aug,"08",Urgent,366,51,9029220.00,24805.54,16
"2019",Sep,"09",Emergency,300,52,7372440.00,24574.80,16
"2019",Sep,"09",Urgent,340,52,8445860.00,24840.75,15
"2019",Sep,"09",Elective,296,49,7515790.00,25391.16,15
"2019",Oct,"10",Emergency,306,52,7836960.00,25610.96,17
"2019",Oct,"10",Elective,372,52,9522230.00,25735.77,16
"2019",Oct,"10",Urgent,335,48,8919100.00,26784.07,16
"2019",Nov,"11",Urgent,350,50,9279840.00,26666.23,14
"2019",Nov,"11",Emergency,285,52,7201160.00,25356.19,16
"2019",Nov,"11",Elective,324,51,8304210.00,25630.28,15
"2019",Dec,"12",Emergency,309,52,8218420.00,26683.18,16
"2019",Dec,"12",Elective,312,52,7965750.00,25695.96,16
"2019",Dec,"12",Urgent,307,51,7563820.00,24637.85,16
"2020",Jan,"01",Emergency,333,50,8398360.00,25296.26,16
"2020",Jan,"01",Urgent,303,54,7614770.00,25214.46,16
"2020",Jan,"01",Elective,314,52,8360000.00,26709.26,16
"2020",Feb,"02",Elective,299,52,7537870.00,25210.28,15
"2020",Feb,"02",Urgent,273,53,6782340.00,24843.75,16
"2020",Feb,"02",Emergency,309,50,8004130.00,25903.33,16
"2020",Mar,"03",Urgent,317,54,8298860.00,26179.36,15
"2020",Mar,"03",Elective,308,51,8153920.00,26559.99,15
"2020",Mar,"03",Emergency,312,52,7457060.00,23977.70,16
"2020",Apr,"04",Elective,311,51,8203760.00,26635.58,16
"2020",Apr,"04",Urgent,314,52,7769610.00,24744.00,16
"2020",Apr,"04",Emergency,299,51,7157910.00,24019.85,16
"2020",May,"05",Elective,325,51,8724570.00,26844.84,16
"2020",May,"05",Emergency,358,50,8625760.00,24229.66,16
"2020",May,"05",Urgent,295,51,7618050.00,25823.92,16
"2020",Jun,"06",Elective,299,51,7887420.00,26467.85,16
"2020",Jun,"06",Emergency,309,52,7945430.00,25713.37,16
"2020",Jun,"06",Urgent,327,54,8471050.00,25905.35,16
