"Hospital","Medical Condition","patient_count","average_patient_age","total_billing_amount","average_billing_amount","average_length_of_stay"
Abbott-Castillo,Arthritis,1,83,18397.70,18397.74,25
Abbott-Coleman,Diabetes,1,38,19752.00,19752.00,5
Abbott-Ferrell,Asthma,1,73,99.93,99.93,21
Abbott-Hill,Obesity,1,54,13260.10,13260.14,9
Abbott-Jones,Hypertension,1,62,49039.70,49039.71,7
Abbott-Martin,Arthritis,1,21,48968.90,48968.88,18
Abbott-Martin,Asthma,1,54,41462.40,41462.35,7
Abbott-Rios,Diabetes,1,57,35798.40,35798.35,1
Abbott-Wilson,Obesity,1,70,23968.50,23968.51,19
"Abbott and Thompson, Sullivan",Hypertension,1,84,16738.60,16738.57,26
Abbott Inc,Arthritis,1,59,38052.00,38052.04,3
Abbott Ltd,Arthritis,1,59,29877.60,29877.59,19
"Abbott Moore and Williams,",Obesity,1,39,24799.60,24799.60,25
"Abbott, Peters and Hoffman",Diabetes,2,63,37684.80,18842.40,13
"Abbott, Vazquez Bautista and",Obesity,1,81,14117.10,14117.14,7
Acevedo-Diaz,Arthritis,1,64,21431.20,21431.17,22
Acevedo-Goodwin,Arthritis,1,39,5900.38,5900.38,25
Acevedo-Henderson,Obesity,1,71,13030.30,13030.31,3
Acevedo-Lawson,Diabetes,1,80,30895.50,30895.51,19
"Acevedo and Ellis, Snyder",Cancer,1,19,33490.60,33490.60,30
"Acevedo and Hart, Hernandez",Cancer,2,28,14296.20,7148.11,23
"Acevedo and Howard Burke,",Asthma,1,39,31015.30,31015.27,24
"Acevedo and Larson Andrews,",Asthma,1,82,34339.80,34339.76,19
"Acevedo and Lewis Barker,",Cancer,1,68,4867.31,4867.31,20
Acevedo Group,Diabetes,1,71,25420.50,25420.54,15
"Acevedo Holmes and Rangel,",Obesity,1,68,50150.20,50150.17,15
Acevedo LLC,Arthritis,1,37,23600.50,23600.50,10
Acevedo Ltd,Arthritis,1,48,34196.70,34196.73,29
Acevedo Ltd,Asthma,2,43,63787.60,31893.78,15
"Acevedo Phillips Steele, and",Hypertension,1,83,12363.80,12363.78,15
Acevedo PLC,Asthma,1,25,50050.50,50050.46,13
