"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
Abbott-Castillo,1,1,1,18397.70,18397.74,83.0,25,2020-07-31,2020-07-31
Abbott-Coleman,1,1,1,19752.00,19752.00,38.0,5,2021-10-12,2021-10-12
Abbott-Ferrell,1,1,1,99.93,99.93,73.0,21,2021-06-09,2021-06-09
Abbott-Hill,1,1,1,13260.10,13260.14,54.0,9,2024-05-03,2024-05-03
Abbott-Jones,1,1,1,49039.70,49039.71,62.0,7,2021-10-01,2021-10-01
Abbott-Martin,2,2,2,90431.20,45215.62,37.5,13,2020-07-07,2022-03-19
Abbott-Rios,1,1,1,35798.40,35798.35,57.0,1,2020-07-11,2020-07-11
Abbott-Wilson,1,1,1,23968.50,23968.51,70.0,19,2020-05-06,2020-05-06
"Abbott and Thompson, Sullivan",1,1,1,16738.60,16738.57,84.0,26,2022-12-03,2022-12-03
Abbott Inc,1,1,1,38052.00,38052.04,59.0,3,2022-05-07,2022-05-07
Abbott Ltd,1,1,1,29877.60,29877.59,59.0,19,2022-08-01,2022-08-01
"Abbott Moore and Williams,",1,1,1,24799.60,24799.60,39.0,25,2022-08-25,2022-08-25
"Abbott, Peters and Hoffman",2,1,1,37684.80,18842.40,62.5,13,2022-01-05,2022-01-05
"Abbott, Vazquez Bautista and",1,1,1,14117.10,14117.14,81.0,7,2022-11-02,2022-11-02
Acevedo-Diaz,1,1,1,21431.20,21431.17,64.0,22,2020-04-11,2020-04-11
Acevedo-Goodwin,1,1,1,5900.38,5900.38,39.0,25,2019-05-15,2019-05-15
Acevedo-Henderson,1,1,1,13030.30,13030.31,71.0,3,2020-05-21,2020-05-21
Acevedo-Lawson,1,1,1,30895.50,30895.51,80.0,19,2021-04-26,2021-04-26
"Acevedo and Ellis, Snyder",1,1,1,33490.60,33490.60,19.0,30,2024-01-22,2024-01-22
"Acevedo and Hart, Hernandez",2,1,1,14296.20,7148.11,28.0,23,2022-10-04,2022-10-04
"Acevedo and Howard Burke,",1,1,1,31015.30,31015.27,39.0,24,2019-12-29,2019-12-29
"Acevedo and Larson Andrews,",1,1,1,34339.80,34339.76,82.0,19,2021-01-28,2021-01-28
"Acevedo and Lewis Barker,",1,1,1,4867.31,4867.31,68.0,20,2022-02-02,2022-02-02
Acevedo Group,1,1,1,25420.50,25420.54,71.0,15,2020-04-13,2020-04-13
"Acevedo Holmes and Rangel,",1,1,1,50150.20,50150.17,68.0,15,2021-09-07,2021-09-07
Acevedo LLC,1,1,1,23600.50,23600.50,37.0,10,2022-09-17,2022-09-17
Acevedo Ltd,3,2,2,97984.30,32661.43,44.3,20,2022-06-18,2022-12-26
"Acevedo Phillips Steele, and",1,1,1,12363.80,12363.78,83.0,15,2021-04-02,2021-04-02
