"year","month","month_number","admission_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay"
"2019",May,"05",686,17654900.00,25963.02,51,15
"2019",Jun,"06",907,23885600.00,26392.90,52,15
"2019",Jul,"07",957,24771800.00,25911.96,51,16
"2019",Aug,"08",1001,25399500.00,25450.43,52,16
"2019",Sep,"09",936,23334100.00,24929.57,51,15
"2019",Oct,"10",1013,26278300.00,26043.89,51,16
"2019",Nov,"11",959,24785200.00,25925.96,51,15
"2019",Dec,"12",928,23748000.00,25673.50,52,16
"2020",Jan,"01",950,24373100.00,25737.19,52,16
"2020",Feb,"02",881,22324300.00,25339.78,52,16
"2020",Mar,"03",937,23909800.00,25572.02,52,15
"2020",Apr,"04",924,23131300.00,25142.71,51,16
"2020",May,"05",978,24968400.00,25582.36,51,16
"2020",Jun,"06",935,24303900.00,26021.31,52,16
"2020",Jul,"07",1007,24993700.00,24819.98,51,15
"2020",Aug,"08",1014,25817300.00,25486.00,52,15
"2020",Sep,"09",904,22422800.00,24831.49,51,15
"2020",Oct,"10",962,24103700.00,25055.79,52,15
"2020",Nov,"11",904,22884400.00,25342.64,51,16
"2020",Dec,"12",889,23325700.00,26238.13,51,16
"2021",Jan,"01",933,23805500.00,25597.28,52,16
"2021",Feb,"02",837,21375800.00,25630.44,50,15
"2021",Mar,"03",969,25117000.00,26027.99,51,15
"2021",Apr,"04",870,22434100.00,25875.53,52,16
"2021",May,"05",903,22623100.00,25053.28,53,15
"2021",Jun,"06",926,24141800.00,26099.20,51,16
"2021",Jul,"07",978,25245400.00,25839.72,52,15
"2021",Aug,"08",894,22766500.00,25494.42,53,16
"2021",Sep,"09",867,21754500.00,25149.73,52,15
"2021",Oct,"10",893,23827100.00,26711.94,51,15
"2021",Nov,"11",908,23277700.00,25636.19,52,16
"2021",Dec,"12",953,23795800.00,25021.86,50,15
"2022",Jan,"01",969,24734100.00,25551.75,54,15
"2022",Feb,"02",777,19200100.00,24774.29,51,15
"2022",Mar,"03",938,24178900.00,25832.20,51,15
"2022",Apr,"04",880,22566700.00,25702.39,52,15
"2022",May,"05",892,22867500.00,25665.01,53,16
"2022",Jun,"06",970,24531900.00,25369.06,51,15
"2022",Jul,"07",951,24612400.00,25907.78,52,15
"2022",Aug,"08",955,23855000.00,25031.53,51,16
"2022",Sep,"09",919,23558900.00,25691.27,52,16
"2022",Oct,"10",912,23356100.00,25694.23,51,15
"2022",Nov,"11",896,23491300.00,26276.58,52,15
"2022",Dec,"12",958,24143000.00,25280.63,52,16
"2023",Jan,"01",931,24181400.00,26029.53,53,16
"2023",Feb,"02",880,22458500.00,25579.13,50,16
"2023",Mar,"03",922,22467500.00,24421.26,52,16
"2023",Apr,"04",898,22914800.00,25546.08,51,16
"2023",May,"05",927,22905400.00,24709.20,51,15
"2023",Jun,"06",961,25038500.00,26136.25,51,15
"2023",Jul,"07",919,23133800.00,25172.75,51,15
"2023",Aug,"08",968,24826700.00,25673.97,51,15
"2023",Sep,"09",920,23674800.00,25733.46,52,16
"2023",Oct,"10",898,24029200.00,26788.39,51,15
"2023",Nov,"11",881,22522200.00,25593.45,51,16
"2023",Dec,"12",921,23834400.00,26020.12,51,15
"2024",Jan,"01",909,23437400.00,25783.75,52,16
"2024",Feb,"02",880,22543500.00,25734.58,51,16
"2024",Mar,"03",906,22893300.00,25324.39,51,16
"2024",Apr,"04",946,23517200.00,24912.27,53,16
"2024",May,"05",213,5431300.00,25499.05,51,15
