"age_group","gender","blood_type","patient_count","average_age","total_billing_amount","average_billing_amount"
Young Adults,Female,A+,612,23.5,15492300.00,25397.26
Children,Female,A+,8,15.0,222293.00,27786.62
Seniors,Female,AB+,1319,72.4,33388100.00,25332.41
Children,Male,AB-,8,15.5,229553.00,28694.17
Children,Female,B-,8,15.4,275387.00,34423.40
Seniors,Male,A+,1277,72.7,32692100.00,25661.01
Seniors,Female,A+,1397,72.8,36435500.00,26137.39
Adults,Male,A+,782,37.3,20453400.00,26222.33
Seniors,Male,B+,1375,72.3,35018800.00,25486.79
Adults,Male,AB-,765,37.1,19692800.00,25742.15
Children,Male,A-,7,15.3,157558.00,22508.24
Adults,Male,AB+,771,36.8,19767200.00,25671.72
Adults,Female,O+,786,37.0,19587200.00,24951.87
Middle Age,Female,A-,746,52.0,18825300.00,25405.24
Young Adults,Male,AB+,610,23.3,15613900.00,25596.61
Young Adults,Male,A+,597,23.5,14646200.00,24533.05
Seniors,Male,B-,1350,72.5,34474400.00,25555.53
Children,Male,B-,6,15.8,170526.00,28421.05
Young Adults,Female,B+,566,23.5,13652100.00,24120.25
Children,Female,O-,4,15.3,91552.40,22888.09
Middle Age,Male,AB-,739,52.1,18524800.00,25135.40
Middle Age,Female,O-,799,52.1,20707100.00,26013.99
Middle Age,Female,B-,785,51.9,20055200.00,25580.60
Adults,Female,O-,731,36.8,18332900.00,25148.02
Young Adults,Male,B+,605,23.5,15420600.00,25573.19
Seniors,Female,A-,1323,72.6,33823700.00,25624.05
Children,Female,A-,10,16.1,274570.00,27456.96
Seniors,Female,AB-,1313,72.4,34128800.00,26052.56
Middle Age,Female,A+,765,51.9,20112500.00,26359.77
Children,Female,B+,7,16.0,212649.00,30378.38
Young Adults,Male,A-,631,23.7,16266800.00,25779.37
Adults,Male,B+,781,37.3,20078000.00,25708.02
Adults,Female,B+,727,37.0,19021400.00,26200.29
Seniors,Male,O+,1290,72.3,32569800.00,25306.73
Children,Male,B+,4,15.8,133238.00,33309.53
Young Adults,Male,B-,590,23.6,14943300.00,25327.64
Children,Male,O-,11,15.0,338234.00,30748.58
Seniors,Male,AB-,1368,72.3,35410500.00,25960.76
Adults,Male,A-,738,36.9,18950800.00,25678.54
Young Adults,Female,A-,591,23.6,15349500.00,26060.27
Adults,Female,A-,779,37.1,19220500.00,24768.76
Adults,Male,B-,780,37.2,20120000.00,25827.95
Adults,Female,AB+,775,37.1,19571800.00,25319.22
Adults,Female,B-,747,37.0,18648100.00,25030.99
Seniors,Female,B+,1336,72.4,33939700.00,25442.07
Middle Age,Male,O-,771,52.0,20307000.00,26338.48
Middle Age,Male,A-,806,52.3,20538300.00,25513.38
Middle Age,Male,B+,803,51.9,20414100.00,25485.80
Children,Male,O+,5,15.2,112466.00,22493.18
Adults,Male,O+,781,37.2,20390300.00,26174.97
Seniors,Female,O+,1290,73.2,31832100.00,24714.43
Adults,Female,A+,782,37.1,20295300.00,26019.58
Children,Male,A+,10,15.5,253101.00,25310.14
Adults,Male,O-,749,37.0,20018800.00,26870.82
Seniors,Female,B-,1262,72.5,31573800.00,25098.41
Young Adults,Male,O+,558,23.8,14354500.00,25771.16
Young Adults,Male,AB-,604,23.4,15111800.00,25144.52
Children,Female,AB+,5,15.2,89749.30,17949.86
Seniors,Female,O-,1365,72.6,34210200.00,25099.17
Children,Female,O+,6,15.0,198227.00,33037.91
Seniors,Male,O-,1246,72.8,32407800.00,26093.28
Middle Age,Male,O+,819,52.1,20353400.00,24851.49
Young Adults,Male,O-,588,23.3,15053600.00,25645.05
Adults,Female,AB-,770,36.8,19346300.00,25223.35
Young Adults,Female,AB+,556,23.4,14546800.00,26257.80
Seniors,Male,AB+,1299,72.5,32480500.00,25042.77
Middle Age,Male,B-,757,52.4,19919400.00,26348.46
Middle Age,Female,O+,793,52.0,19944500.00,25182.46
Young Adults,Female,O-,613,23.5,15941600.00,26048.37
Children,Female,AB-,7,14.7,258418.00,36916.82
Seniors,Male,A-,1338,72.1,34971600.00,26176.35
Middle Age,Female,AB-,763,52.0,19897400.00,26112.04
Young Adults,Female,B-,659,23.3,17065200.00,25934.93
Middle Age,Male,A+,726,52.2,17926000.00,24793.94
Young Adults,Female,AB-,608,23.8,15861200.00,26087.50
Middle Age,Male,AB+,819,52.0,20683500.00,25316.41
Young Adults,Female,O+,589,23.2,15314200.00,26088.87
Children,Male,AB+,10,15.1,289970.00,28996.99
Middle Age,Female,AB+,783,52.3,19761700.00,25238.45
Middle Age,Female,B+,741,52.1,18722100.00,25300.19
